id,x,Wavelength,day,y,sd
100+L-1,AS286361+Laponite,"Blank 285,520",21,1.091665068,NA
100+L-2,AS286361+Laponite,"Blank 285,520",21,0.19334309,NA
100+L-3,AS286361+Laponite,"Blank 285,520",21,0.28351141,NA
100+L-4,AS286361+Laponite,"Blank 285,520",21,0.209856899,NA
100+L-5,AS286361+Laponite,"Blank 285,520",21,0.270212679,NA
B-1,Blank,"Blank 285,520",21,0,NA
B-2,Blank,"Blank 285,520",21,0.109312647,NA
B-3,Blank,"Blank 285,520",21,0,NA
B-4,Blank,"Blank 285,520",21,0.040919173,NA
B-5,Blank,"Blank 285,520",21,0,NA
B+L-1,Blank+Laponite,"Blank 285,520",21,0.082422905,NA
B+L-2,Blank+Laponite,"Blank 285,520",21,0.168791587,NA
B+L-3,Blank+Laponite,"Blank 285,520",21,0.064739977,NA
B+L-4,Blank+Laponite,"Blank 285,520",21,0.030981659,NA
B+L-5,Blank+Laponite,"Blank 285,520",21,0.099375133,NA
100-1,AS286361,"Blank 285,520",21,0,NA
100-2,AS286361,"Blank 285,520",21,0.216725475,NA
100-3,AS286361,"Blank 285,520",21,0.207518661,NA
100-4,AS286361,"Blank 285,520",21,0.117350341,NA
