y,x,group
14.7286071876339,1 mg AS,Week 8
10.550889446656,1 mg AS,Week 8
9.94877942312051,1 mg AS,Week 8
13.0527913206329,1 mg AS,Week 8
10.2760985151163,1 mg AS,Week 8
10.5310058048491,100 μg AS,Week 8
13.8654886608394,100 μg AS,Week 8
15.1607709588237,Blank,Week 8
13.7971634660823,Blank,Week 8
12.9227190394837,Blank,Week 8
14.0283723388998,Blank,Week 8
15.3976872330387,1 mg AS,Week 4
10.927225475472,1 mg AS,Week 4
12.0300854563642,1 mg AS,Week 4
14.6176278242757,1 mg AS,Week 4
12.2873609415118,1 mg AS,Week 4
7.9326423049746,100 μg AS,Week 4
14.2095586858714,100 μg AS,Week 4
14.501970120674,100 μg AS,Week 4
14.6125957319398,100 μg AS,Week 4
11.6288757338094,100 μg AS,Week 4
15.550280869881,Blank,Week 4
15.686490242912,Blank,Week 4
13.3421642963074,Blank,Week 4
12.8002192073671,Blank,Week 4
